no,offer date,security code,offer price,opening price,fileprice min,fileprice max,industry,founding year,trading unit,total offering,primary offering,secondary offering,over allotment,OTC dummy,market dummy,Nomura dummy,Daiwa dummy,Nikko dummy,Mizuho dummy,SBI dummy
209,20141211,7816,2300,5390,2150,2300,19,1964,100,372600,280000,44000,48600,0,1,0,0,1,0,0
210,20141211,3452,2010,10500,1810,2010,32,2008,100,115000,100000,0,15000,0,1,0,0,0,0,1
211,20141211,6026,5800,13640,5000,5800,33,2006,100,316400,100000,175200,41200,0,1,0,1,0,0,0
212,20141212,3900,760,1316,720,760,25,2011,100,2127500,1650000,200000,277500,0,1,0,1,0,0,0
213,20141215,6028,1950,1852,1800,1950,33,2006,100,27255000,0,23700000,3555000,0,0,1,0,0,0,0
214,20141216,3198,1940,1620,1740,2040,27,2010,100,7455000,7100000,0,355000,0,0,0,0,0,1,0
215,20141216,3902,5180,12220,4980,5180,25,2003,100,276600,170000,70600,36000,0,1,0,0,1,0,0
216,20141216,3901,1980,3510,1780,1980,25,2001,100,327200,214800,97400,15000,0,1,0,0,0,0,1
217,20141216,9418,3000,3950,2910,3000,25,2009,100,1564000,960000,400000,204000,0,1,0,1,0,0,0
218,20141216,6029,740,1313,690,740,33,2005,100,920000,700000,100000,120000,0,1,1,0,0,0,0
219,20141217,4248,900,918,880,900,7,1953,100,862500,445000,305000,112500,0,0,0,1,0,0,0
220,20141217,7175,1350,1720,1150,1350,29,1944,100,575000,500000,0,75000,0,1,0,0,0,1,0
221,20141217,2586,4290,6500,4130,4290,4,2002,100,253000,100000,120000,33000,0,1,0,0,1,0,0
222,20141218,3903,3300,3300,3000,3300,25,2007,100,13647200,1500000,10367200,1780000,0,0,1,0,0,0,0
223,20141218,2883,1800,1680,1700,1800,4,1972,100,1725000,700000,800000,225000,0,0,0,0,0,0,0
224,20141218,6030,2500,5680,2300,2500,33,2006,100,379500,330000,0,49500,0,1,0,1,0,0,0
225,20141219,9551,2400,2256,2400,2550,20,2008,100,11500000,10000000,0,1500000,0,0,1,0,0,0,0
226,20141219,6031,2560,5780,2280,2560,33,2005,100,453600,258500,136000,59100,0,1,0,0,1,0,0
227,20141222,6032,1750,2043,1720,1750,33,1999,100,1058000,270000,650000,138000,0,1,0,1,0,0,0
